2015-12-10 21:00:29 status unpacked coreutils:amd64 8.23-4
2015-12-10 21:00:29 status unpacked coreutils:amd64 8.23-4
2015-12-10 21:00:30 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2015-12-10 21:00:30 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2015-12-10 21:00:30 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2015-12-10 21:00:30 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2015-12-10 21:00:30 install dash:amd64 <none> 0.5.7-4+b1
2015-12-10 21:00:30 status half-installed dash:amd64 0.5.7-4+b1
2015-12-10 21:00:30 status unpacked dash:amd64 0.5.7-4+b1
2015-12-10 21:00:30 status unpacked dash:amd64 0.5.7-4+b1
2015-12-10 21:00:31 install libdb5.3:amd64 <none> 5.3.28-9
2015-12-10 21:00:31 status half-installed libdb5.3:amd64 5.3.28-9
2015-12-10 21:00:31 status unpacked libdb5.3:amd64 5.3.28-9
2015-12-10 21:00:31 status unpacked libdb5.3:amd64 5.3.28-9
2015-12-10 21:00:31 upgrade debconf:all 1.5.56 1.5.56
2015-12-10 21:00:31 status half-configured debconf:all 1.5.56
2015-12-10 21:00:31 status unpacked debconf:all 1.5.56
2015-12-10 21:00:31 status half-installed debconf:all 1.5.56
2015-12-10 21:00:32 status half-installed debconf:all 1.5.56
2015-12-10 21:00:32 status unpacked debconf:all 1.5.56
2015-12-10 21:00:32 status unpacked debconf:all 1.5.56
2015-12-10 21:00:32 install debconf-i18n:all <none> 1.5.56
2015-12-10 21:00:32 status half-installed debconf-i18n:all 1.5.56
2015-12-10 21:00:32 status unpacked debconf-i18n:all 1.5.56
2015-12-10 21:00:32 status unpacked debconf-i18n:all 1.5.56
2015-12-10 21:00:32 install debianutils:amd64 <none> 4.4+b1
2015-12-10 21:00:32 status half-installed debianutils:amd64 4.4+b1
2015-12-10 21:00:33 status unpacked debianutils:amd64 4.4+b1
2015-12-10 21:00:33 status unpacked debianutils:amd64 4.4+b1
2015-12-10 21:00:33 install diffutils:amd64 <none> 1:3.3-1+b1
2015-12-10 21:00:33 status half-installed diffutils:amd64 1:3.3-1+b1
2015-12-10 21:00:33 status unpacked diffutils:amd64 1:3.3-1+b1
2015-12-10 21:00:33 status unpacked diffutils:amd64 1:3.3-1+b1
2015-12-10 21:00:33 upgrade dpkg:amd64 1.17.25 1.17.25
2015-12-10 21:00:33 status half-configured dpkg:amd64 1.17.25
2015-12-10 21:00:33 status unpacked dpkg:amd64 1.17.25
2015-12-10 21:00:33 status half-installed dpkg:amd64 1.17.25
2015-12-10 21:00:34 status half-installed dpkg:amd64 1.17.25
2015-12-10 21:00:34 status unpacked dpkg:amd64 1.17.25
2015-12-10 21:00:34 status unpacked dpkg:amd64 1.17.25
2015-12-10 21:00:34 install e2fslibs:amd64 <none> 1.42.12-1.1
2015-12-10 21:00:34 status half-installed e2fslibs:amd64 1.42.12-1.1
2015-12-10 21:00:34 status unpacked e2fslibs:amd64 1.42.12-1.1
2015-12-10 21:00:34 status unpacked e2fslibs:amd64 1.42.12-1.1
2015-12-10 21:00:34 install e2fsprogs:amd64 <none> 1.42.12-1.1
2015-12-10 21:00:34 status half-installed e2fsprogs:amd64 1.42.12-1.1
2015-12-10 21:00:35 status unpacked e2fsprogs:amd64 1.42.12-1.1
2015-12-10 21:00:35 status unpacked e2fsprogs:amd64 1.42.12-1.1
2015-12-10 21:00:35 install libcomerr2:amd64 <none> 1.42.12-1.1
2015-12-10 21:00:35 status half-installed libcomerr2:amd64 1.42.12-1.1
2015-12-10 21:00:35 status unpacked libcomerr2:amd64 1.42.12-1.1
2015-12-10 21:00:35 status unpacked libcomerr2:amd64 1.42.12-1.1
2015-12-10 21:00:35 install libss2:amd64 <none> 1.42.12-1.1
2015-12-10 21:00:35 status half-installed libss2:amd64 1.42.12-1.1
2015-12-10 21:00:36 status unpacked libss2:amd64 1.42.12-1.1
2015-12-10 21:00:36 status unpacked libss2:amd64 1.42.12-1.1
2015-12-10 21:00:36 install findutils:amd64 <none> 4.4.2-9+b1
2015-12-10 21:00:36 status half-installed findutils:amd64 4.4.2-9+b1
2015-12-10 21:00:36 status unpacked findutils:amd64 4.4.2-9+b1
2015-12-10 21:00:36 status unpacked findutils:amd64 4.4.2-9+b1
2015-12-10 21:00:36 install gcc-4.8-base:amd64 <none> 4.8.4-1
2015-12-10 21:00:36 status half-installed gcc-4.8-base:amd64 4.8.4-1
2015-12-10 21:00:36 status unpacked gcc-4.8-base:amd64 4.8.4-1
2015-12-10 21:00:36 status unpacked gcc-4.8-base:amd64 4.8.4-1
2015-12-10 21:00:37 install gcc-4.9-base:amd64 <none> 4.9.2-10
2015-12-10 21:00:37 status half-installed gcc-4.9-base:amd64 4.9.2-10
2015-12-10 21:00:37 status unpacked gcc-4.9-base:amd64 4.9.2-10
2015-12-10 21:00:37 status unpacked gcc-4.9-base:amd64 4.9.2-10
2015-12-10 21:00:37 install libgcc1:amd64 <none> 1:4.9.2-10
2015-12-10 21:00:37 status half-installed libgcc1:amd64 1:4.9.2-10
2015-12-10 21:00:37 status unpacked libgcc1:amd64 1:4.9.2-10
2015-12-10 21:00:37 status unpacked libgcc1:amd64 1:4.9.2-10
2015-12-10 21:00:37 install libc-bin:amd64 <none> 2.19-18+deb8u1
2015-12-10 21:00:37 status half-installed libc-bin:amd64 2.19-18+deb8u1
2015-12-10 21:00:38 status unpacked libc-bin:amd64 2.19-18+deb8u1
2015-12-10 21:00:38 status unpacked libc-bin:amd64 2.19-18+deb8u1
2015-12-10 21:00:38 upgrade libc6:amd64 2.19-18+deb8u1 2.19-18+deb8u1
2015-12-10 21:00:38 status half-configured libc6:amd64 2.19-18+deb8u1
2015-12-10 21:00:38 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-10 21:00:38 status half-installed libc6:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 status half-installed libc6:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 install multiarch-support:amd64 <none> 2.19-18+deb8u1
2015-12-10 21:00:39 status half-installed multiarch-support:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 status unpacked multiarch-support:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 status unpacked multiarch-support:amd64 2.19-18+deb8u1
2015-12-10 21:00:39 install grep:amd64 <none> 2.20-4.1
2015-12-10 21:00:39 status half-installed grep:amd64 2.20-4.1
2015-12-10 21:00:40 status unpacked grep:amd64 2.20-4.1
2015-12-10 21:00:40 status unpacked grep:amd64 2.20-4.1
2015-12-10 21:00:40 install gzip:amd64 <none> 1.6-4
2015-12-10 21:00:40 status half-installed gzip:amd64 1.6-4
2015-12-10 21:00:40 status unpacked gzip:amd64 1.6-4
2015-12-10 21:00:40 status unpacked gzip:amd64 1.6-4
2015-12-10 21:00:40 install hostname:amd64 <none> 3.15
2015-12-10 21:00:40 status half-installed hostname:amd64 3.15
2015-12-10 21:00:40 status unpacked hostname:amd64 3.15
2015-12-10 21:00:40 status unpacked hostname:amd64 3.15
2015-12-10 21:00:40 install init:amd64 <none> 1.22
2015-12-10 21:00:40 status half-installed init:amd64 1.22
2015-12-10 21:00:41 status unpacked init:amd64 1.22
2015-12-10 21:00:41 status unpacked init:amd64 1.22
2015-12-10 21:00:41 install insserv:amd64 <none> 1.14.0-5
2015-12-10 21:00:41 status half-installed insserv:amd64 1.14.0-5
2015-12-10 21:00:41 status unpacked insserv:amd64 1.14.0-5
2015-12-10 21:00:41 status unpacked insserv:amd64 1.14.0-5
2015-12-10 21:00:41 install libkmod2:amd64 <none> 18-3
2015-12-10 21:00:41 status half-installed libkmod2:amd64 18-3
2015-12-10 21:00:41 status unpacked libkmod2:amd64 18-3
2015-12-10 21:00:41 status unpacked libkmod2:amd64 18-3
2015-12-10 21:00:42 install libcap2:amd64 <none> 1:2.24-8
2015-12-10 21:00:42 status half-installed libcap2:amd64 1:2.24-8
2015-12-10 21:00:42 status unpacked libcap2:amd64 1:2.24-8
2015-12-10 21:00:42 status unpacked libcap2:amd64 1:2.24-8
2015-12-10 21:00:42 install libcap2-bin:amd64 <none> 1:2.24-8
2015-12-10 21:00:42 status half-installed libcap2-bin:amd64 1:2.24-8
2015-12-10 21:00:42 status unpacked libcap2-bin:amd64 1:2.24-8
2015-12-10 21:00:42 status unpacked libcap2-bin:amd64 1:2.24-8
2015-12-10 21:00:42 install libgcrypt20:amd64 <none> 1.6.3-2
2015-12-10 21:00:42 status half-installed libgcrypt20:amd64 1.6.3-2
2015-12-10 21:00:43 status unpacked libgcrypt20:amd64 1.6.3-2
2015-12-10 21:00:43 status unpacked libgcrypt20:amd64 1.6.3-2
2015-12-10 21:00:43 install libgpg-error0:amd64 <none> 1.17-3
2015-12-10 21:00:43 status half-installed libgpg-error0:amd64 1.17-3
2015-12-10 21:00:43 status unpacked libgpg-error0:amd64 1.17-3
2015-12-10 21:00:43 status unpacked libgpg-error0:amd64 1.17-3
2015-12-10 21:00:43 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2015-12-10 21:00:43 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2015-12-10 21:00:43 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2015-12-10 21:00:43 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2015-12-10 21:00:44 install libselinux1:amd64 <none> 2.3-2
2015-12-10 21:00:44 status half-installed libselinux1:amd64 2.3-2
2015-12-10 21:00:44 status unpacked libselinux1:amd64 2.3-2
2015-12-10 21:00:44 status unpacked libselinux1:amd64 2.3-2
2015-12-10 21:00:44 install libsemanage-common:all <none> 2.3-1
2015-12-10 21:00:44 status half-installed libsemanage-common:all 2.3-1
2015-12-10 21:00:44 status unpacked libsemanage-common:all 2.3-1
2015-12-10 21:00:44 status unpacked libsemanage-common:all 2.3-1
2015-12-10 21:00:44 install libsemanage1:amd64 <none> 2.3-1+b1
2015-12-10 21:00:44 status half-installed libsemanage1:amd64 2.3-1+b1
2015-12-10 21:00:44 status unpacked libsemanage1:amd64 2.3-1+b1
2015-12-10 21:00:44 status unpacked libsemanage1:amd64 2.3-1+b1
2015-12-10 21:00:45 install libsepol1:amd64 <none> 2.3-2
2015-12-10 21:00:45 status half-installed libsepol1:amd64 2.3-2
2015-12-10 21:00:45 status unpacked libsepol1:amd64 2.3-2
2015-12-10 21:00:45 status unpacked libsepol1:amd64 2.3-2
2015-12-10 21:00:45 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2015-12-10 21:00:45 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
2015-12-10 21:00:45 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2015-12-10 21:00:45 status unpacked libtext-charwidth-perl:amd64 0.04-7+b3
2015-12-10 21:00:45 install libtext-iconv-perl:amd64 <none> 1.7-5+b2
2015-12-10 21:00:45 status half-installed libtext-iconv-perl:amd64 1.7-5+b2
2015-12-10 21:00:45 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2015-12-10 21:00:45 status unpacked libtext-iconv-perl:amd64 1.7-5+b2
2015-12-10 21:00:46 install libtext-wrapi18n-perl:all <none> 0.06-7
2015-12-10 21:00:46 status half-installed libtext-wrapi18n-perl:all 0.06-7
2015-12-10 21:00:46 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-12-10 21:00:46 status unpacked libtext-wrapi18n-perl:all 0.06-7
2015-12-10 21:00:46 install lsb-base:all <none> 4.1+Debian13+nmu1
2015-12-10 21:00:46 status half-installed lsb-base:all 4.1+Debian13+nmu1
2015-12-10 21:00:46 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-12-10 21:00:46 status unpacked lsb-base:all 4.1+Debian13+nmu1
2015-12-10 21:00:46 install dmsetup:amd64 <none> 2:1.02.90-2.2
2015-12-10 21:00:46 status half-installed dmsetup:amd64 2:1.02.90-2.2
2015-12-10 21:00:46 status unpacked dmsetup:amd64 2:1.02.90-2.2
2015-12-10 21:00:46 status unpacked dmsetup:amd64 2:1.02.90-2.2
2015-12-10 21:00:47 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2
2015-12-10 21:00:47 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2
2015-12-10 21:00:47 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2
2015-12-10 21:00:47 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2
2015-12-10 21:00:48 upgrade mawk:amd64 1.3.3-17 1.3.3-17
2015-12-10 21:00:48 status half-configured mawk:amd64 1.3.3-17
2015-12-10 21:00:48 status unpacked mawk:amd64 1.3.3-17
2015-12-10 21:00:49 status half-installed mawk:amd64 1.3.3-17
2015-12-10 21:00:49 status half-installed mawk:amd64 1.3.3-17
2015-12-10 21:00:50 status unpacked mawk:amd64 1.3.3-17
2015-12-10 21:00:50 status unpacked mawk:amd64 1.3.3-17
2015-12-10 21:00:50 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2015-12-10 21:00:50 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:50 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:50 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:50 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2015-12-10 21:00:50 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:50 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:50 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:51 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2015-12-10 21:00:51 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:51 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:51 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2015-12-10 21:00:51 install ncurses-base:all <none> 5.9+20140913-1
2015-12-10 21:00:51 status half-installed ncurses-base:all 5.9+20140913-1
2015-12-10 21:00:51 status unpacked ncurses-base:all 5.9+20140913-1
2015-12-10 21:00:51 status unpacked ncurses-base:all 5.9+20140913-1
2015-12-10 21:00:51 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2015-12-10 21:00:51 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2015-12-10 21:00:52 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2015-12-10 21:00:52 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2015-12-10 21:00:52 install libpam-modules:amd64 <none> 1.1.8-3.1
2015-12-10 21:00:52 status half-installed libpam-modules:amd64 1.1.8-3.1
2015-12-10 21:00:52 status unpacked libpam-modules:amd64 1.1.8-3.1
2015-12-10 21:00:52 status unpacked libpam-modules:amd64 1.1.8-3.1
2015-12-10 21:00:52 install libpam-modules-bin:amd64 <none> 1.1.8-3.1
2015-12-10 21:00:52 status half-installed libpam-modules-bin:amd64 1.1.8-3.1
2015-12-10 21:00:53 status unpacked libpam-modules-bin:amd64 1.1.8-3.1
2015-12-10 21:00:53 status unpacked libpam-modules-bin:amd64 1.1.8-3.1
2015-12-10 21:00:53 install libpam-runtime:all <none> 1.1.8-3.1
2015-12-10 21:00:53 status half-installed libpam-runtime:all 1.1.8-3.1
2015-12-10 21:00:53 status unpacked libpam-runtime:all 1.1.8-3.1
2015-12-10 21:00:53 status unpacked libpam-runtime:all 1.1.8-3.1
2015-12-10 21:00:54 install libpam0g:amd64 <none> 1.1.8-3.1
2015-12-10 21:00:54 status half-installed libpam0g:amd64 1.1.8-3.1
2015-12-10 21:00:54 status unpacked libpam0g:amd64 1.1.8-3.1
2015-12-10 21:00:54 status unpacked libpam0g:amd64 1.1.8-3.1
2015-12-10 21:00:54 install libpcre3:amd64 <none> 2:8.35-3.3
2015-12-10 21:00:54 status half-installed libpcre3:amd64 2:8.35-3.3
2015-12-10 21:00:54 status unpacked libpcre3:amd64 2:8.35-3.3
2015-12-10 21:00:54 status unpacked libpcre3:amd64 2:8.35-3.3
2015-12-10 21:00:54 upgrade perl-base:amd64 5.20.2-3+deb8u1 5.20.2-3+deb8u1
2015-12-10 21:00:54 status half-configured perl-base:amd64 5.20.2-3+deb8u1
2015-12-10 21:00:54 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-10 21:00:54 status half-installed perl-base:amd64 5.20.2-3+deb8u1
2015-12-10 21:00:55 status half-installed perl-base:amd64 5.20.2-3+deb8u1
2015-12-10 21:00:55 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-10 21:00:55 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-10 21:00:55 install libprocps3:amd64 <none> 2:3.3.9-9
2015-12-10 21:00:55 status half-installed libprocps3:amd64 2:3.3.9-9
2015-12-10 21:00:56 status unpacked libprocps3:amd64 2:3.3.9-9
2015-12-10 21:00:56 status unpacked libprocps3:amd64 2:3.3.9-9
2015-12-10 21:00:56 install procps:amd64 <none> 2:3.3.9-9
2015-12-10 21:00:56 status half-installed procps:amd64 2:3.3.9-9
2015-12-10 21:00:56 status unpacked procps:amd64 2:3.3.9-9
2015-12-10 21:00:56 status unpacked procps:amd64 2:3.3.9-9
2015-12-10 21:00:56 install sed:amd64 <none> 4.2.2-4+b1
2015-12-10 21:00:56 status half-installed sed:amd64 4.2.2-4+b1
2015-12-10 21:00:56 status unpacked sed:amd64 4.2.2-4+b1
2015-12-10 21:00:57 status unpacked sed:amd64 4.2.2-4+b1
2015-12-10 21:00:57 install sensible-utils:all <none> 0.0.9
2015-12-10 21:00:57 status half-installed sensible-utils:all 0.0.9
2015-12-10 21:00:57 status unpacked sensible-utils:all 0.0.9
2015-12-10 21:00:57 status unpacked sensible-utils:all 0.0.9
2015-12-10 21:00:57 install login:amd64 <none> 1:4.2-3
2015-12-10 21:00:57 status half-installed login:amd64 1:4.2-3
2015-12-10 21:00:57 status unpacked login:amd64 1:4.2-3
2015-12-10 21:00:57 status unpacked login:amd64 1:4.2-3
2015-12-10 21:00:58 install passwd:amd64 <none> 1:4.2-3
2015-12-10 21:00:58 status half-installed passwd:amd64 1:4.2-3
2015-12-10 21:00:58 status unpacked passwd:amd64 1:4.2-3
2015-12-10 21:00:58 status unpacked passwd:amd64 1:4.2-3
